44.599948° N,11.652175° E
44.600096° N,11.651448° E
44.599958° N,11.651388° E
44.599839° N,11.651455° E
44.59975° N,11.651338° E
44.599612° N,11.651267° E
44.599525° N,11.651194° E
44.599482° N,11.651138° E
44.599456° N,11.651123° E
44.599372° N,11.651168° E
44.599323° N,11.651115° E
44.599285° N,11.651109° E
44.599244° N,11.651194° E
44.599207° N,11.651267° E
44.599183° N,11.651374° E
44.599137° N,11.651464° E
44.599096° N,11.651565° E
44.599074° N,11.651632° E
44.599067° N,11.651751° E
44.599041° N,11.651853° E
44.599015° N,11.651943° E
44.599012° N,11.652042° E
44.599018° N,11.652164° E
44.599012° N,11.652318° E
44.598988° N,11.652448° E
44.59897° N,11.652556° E
44.598971° N,11.652672° E
44.598976° N,11.652909° E
44.598948° N,11.653055° E
44.598958° N,11.653212° E
44.598981° N,11.653393° E
44.599009° N,11.653592° E
44.599027° N,11.653823° E
44.59901° N,11.654073° E
44.599015° N,11.654296° E
44.599044° N,11.654524° E
44.599061° N,11.654736° E
44.599059° N,11.654928° E
44.599051° N,11.655079° E
44.599069° N,11.655225° E
44.599071° N,11.655394° E
44.599029° N,11.655539° E
44.598995° N,11.655659° E
44.598974° N,11.655787° E
44.598981° N,11.655948° E
44.59899° N,11.656116° E
44.598988° N,11.656298° E
44.598989° N,11.656478° E
44.598988° N,11.656617° E
44.599003° N,11.656738° E
44.599021° N,11.65685° E
44.599037° N,11.656984° E
44.599022° N,11.657128° E
44.599023° N,11.657242° E
44.599039° N,11.657342° E
44.599067° N,11.657447° E
44.599093° N,11.657586° E
44.599097° N,11.657709° E
44.599072° N,11.657797° E
44.599076° N,11.657869° E
44.599085° N,11.65795° E
44.599058° N,11.658031° E
44.599039° N,11.658116° E
44.599035° N,11.658168° E
44.599042° N,11.658245° E
44.599051° N,11.65835° E
44.599042° N,11.658446° E
44.599018° N,11.658532° E
44.599007° N,11.658583° E
44.599022° N,11.658653° E
44.599046° N,11.658746° E
44.59906° N,11.658852° E
44.599056° N,11.65894° E
44.599076° N,11.659001° E
44.599101° N,11.659084° E
44.599125° N,11.659205° E
44.599132° N,11.659312° E
44.599146° N,11.659377° E
44.599164° N,11.659444° E
44.599146° N,11.659536° E
44.599131° N,11.659579° E
44.599141° N,11.659626° E
44.599173° N,11.659694° E
44.599176° N,11.65978° E
44.599156° N,11.659814° E
44.599168° N,11.659844° E
44.599179° N,11.659897° E
44.599202° N,11.659975° E
44.599198° N,11.660063° E
44.599196° N,11.66012° E
44.599204° N,11.660194° E
